time,FL_foot_torque,FR_foot_torque,RL_foot_torque,RR_foot_torque,FL_leg_torque,FR_leg_torque,RL_leg_torque,RR_leg_torque,FL_shoulder_torque,FR_shoulder_torque,RL_shoulder_torque,RR_shoulder_torque
1.9460000000000015,0.6218655005015208,0.623546115593193,0.743632757339892,0.7473339636369438,-0.06023683296511706,-0.06282892101847182,-0.08833898571030474,-0.08532296557747543,-0.39914253129183563,0.3979153468247234,-0.6088882796433718,0.6080831318858696
1.9480000000000015,0.6220577452760239,0.6236880576708543,0.7430954383829658,0.7467835003060159,-0.06024737827679516,-0.06284373026014833,-0.08882860848655838,-0.08585514908041603,-0.3993436528872867,0.3981426933381873,-0.6090714193672331,0.6082342681328102
1.9500000000000015,0.6222564124711667,0.6238361838114272,0.7425602687578916,0.7462350724662556,-0.060258886260083244,-0.06285988006804288,-0.08931493231203547,-0.08638433637855059,-0.3995442625884452,0.39837039574287686,-0.6092533347286364,0.6083845648577947
1.9520000000000015,0.622461052964141,0.6239901430378936,0.7420274610233584,0.7456889073773958,-0.06027104269920969,-0.06287700322062051,-0.0897980357947823,-0.08691051543347683,-0.39974440332836253,0.3985984022371044,-0.609434008339392,0.6085340622517064
1.9540000000000015,0.6226712188854933,0.6241495825920254,0.7414972198984309,0.7451452235335303,-0.060283538662439184,-0.06289474002883821,-0.09027799624890065,-0.08743367601146446,-0.3999441164367514,0.3988266608095191,-0.6096134252825833,0.6086827984865029
1.9560000000000015,0.6228864655483832,0.6243141498380922,0.7409697424213597,0.7446042309214391,-0.06029607080175836,-0.06291273866586877,-0.09075488907387097,-0.08795380917176843,-0.4001434415717591,0.3990551194205776,-0.6097915730023011,0.6088308097964812
1.9580000000000015,0.6231063532318686,0.6244834940133259,0.7404452181124448,0.7440661312757904,-0.06030834164330301,-0.06293065547390242,-0.09122878720553373,-0.08847090681170044,-0.4003424166620814,0.3992837261732885,-0.6099684411964736,0.6089781305571711
1.9600000000000015,0.6233304488196012,0.6246572678293134,0.7399238291395633,0.7435311183299262,-0.060320059867443376,-0.06294815524848829,-0.09169976063606455,-0.08898496126616706,-0.40054107785890836,0.3995124294731856,-0.6101440217128868,0.6091247933617394
1.9620000000000015,0.6235583272964078,0.6248351289287655,0.7394057504851403,0.7429993780609863,-0.060330940577546954,-0.0629649115008668,-0.09216787599996934,-0.08949596495924794,-0.40073945949718187,0.39974117817754845,-0.6103183084484489,0.6092708290948342
1.9640000000000015,0.6237895731053413,0.625016741202316,0.7388911501134139,0.7424710889282586,-0.06034070555636717,-0.06298060669864824,-0.09263319622309041,-0.09000391010528119,-0.40093759406565205,0.3999699217339467,-0.610491297251718,0.6094162670038259
1.9660000000000015,0.624023781368372,0.6252017759701047,0.7383801891370005,0.7419464221039078,-0.06034908350931545,-0.06299493248517507,-0.09309578023143672,-0.09050878845677346,-0.4011355121852177,0.40019861030823767,-0.6106629858286837,0.6095611347674341
1.9680000000000015,0.6242605589744414,0.6253899130331888,0.7378730219817271,0.7414255416953246,-0.06035581029376402,-0.06300758987791966,-0.09355568271660886,-0.09101059109648446,-0.40133324259504144,0.40042719490219036,-0.6108333736517703,0.60970545856175
1.9700000000000015,0.624499525538809,0.6255808415999127,0.737369796549018,0.7409086049584452,-0.06036062913372575,-0.06301828944622656,-0.09401295395450049,-0.09150930827088644,-0.4015308121459403,0.4006556274609495,-0.6110024618720028,0.6098492631236888
